anio,indicador,salario
2008,Salario_Anual_Percentil 10,8903.52
2008,Salario_Anual_Cuartil inferior,13342.53
2008,Salario_Anual_Mediana,18244.4
2008,Salario_Anual_Media,21883.42
2009,Salario_Anual_Percentil 10,8723.15
2009,Salario_Anual_Cuartil inferior,13587.26
2009,Salario_Anual_Mediana,18803.28
2009,Salario_Anual_Media,22511.47
2010,Salario_Anual_Percentil 10,8643.66
2010,Salario_Anual_Cuartil inferior,13602.53
2010,Salario_Anual_Mediana,19017.09
2010,Salario_Anual_Media,22790.2
2011,Salario_Anual_Percentil 10,8402.15
2011,Salario_Anual_Cuartil inferior,13553.97
2011,Salario_Anual_Mediana,19303.51
2011,Salario_Anual_Media,22899.35
2012,Salario_Anual_Percentil 10,7979.4
2012,Salario_Anual_Cuartil inferior,13369.45
2012,Salario_Anual_Mediana,19040.98
2012,Salario_Anual_Media,22726.44
2013,Salario_Anual_Percentil 10,7692.3
2013,Salario_Anual_Cuartil inferior,13039.36
2013,Salario_Anual_Mediana,19029.66
2013,Salario_Anual_Media,22697.86
2014,Salario_Anual_Percentil 10,7626.2
2014,Salario_Anual_Cuartil inferior,13217.84
2014,Salario_Anual_Mediana,19263.78
2014,Salario_Anual_Media,22858.17
2015,Salario_Anual_Percentil 10,7962.45
2015,Salario_Anual_Cuartil inferior,13414.92
2015,Salario_Anual_Mediana,19466.49
2015,Salario_Anual_Media,23106.3
2016,Salario_Anual_Percentil 10,8095.44
2016,Salario_Anual_Cuartil inferior,13369.74
2016,Salario_Anual_Mediana,19432.62
2016,Salario_Anual_Media,23156.34
2017,Salario_Anual_Percentil 10,8583.81
2017,Salario_Anual_Cuartil inferior,13897.22
2017,Salario_Anual_Mediana,19830.12
2017,Salario_Anual_Media,23646.5
2018,Salario_Anual_Percentil 10,8457.36
2018,Salario_Anual_Cuartil inferior,13998.29
2018,Salario_Anual_Mediana,20078.44
2018,Salario_Anual_Media,24009.12
2019,Salario_Anual_Percentil 10,8943.26
2019,Salario_Anual_Cuartil inferior,14271.06
2019,Salario_Anual_Mediana,20351.02
2019,Salario_Anual_Media,24395.98
2020,Salario_Anual_Percentil 10,9586.51
2020,Salario_Anual_Cuartil inferior,14641.96
2020,Salario_Anual_Mediana,20920.12
2020,Salario_Anual_Media,25165.51
2021,Salario_Anual_Percentil 10,10192.38
2021,Salario_Anual_Cuartil inferior,15215.03
2021,Salario_Anual_Mediana,21638.69
2021,Salario_Anual_Media,25896.82
2022,Salario_Anual_Percentil 10,10657.37
2022,Salario_Anual_Cuartil inferior,15913.52
2022,Salario_Anual_Mediana,22383.11
2022,Salario_Anual_Media,26948.87
2023,Salario_Anual_Percentil 10,11466.88
2023,Salario_Anual_Cuartil inferior,16632.97
2023,Salario_Anual_Mediana,23349.0
2023,Salario_Anual_Media,28049.94
