comunidad,correlacion_pearson
Castilla y León,-0.6437074019199538
Canarias,-0.6089805855086188
Cataluña,-0.5937785002927386
"Rioja, La",-0.5901747722676761
Cantabria,-0.5775429735150364
"Balears, Illes",-0.5668095241058426
Andalucía,-0.5610065738455786
Aragón,-0.5549161249045982
Galicia,-0.5395323221865019
Comunitat Valenciana,-0.5370015507905579
Castilla - La Mancha,-0.5273832094095022
"Murcia, Región de",-0.5087839247775091
"Madrid, Comunidad de",-0.5077413762671409
"Asturias, Principado de",-0.49542540893814674
País Vasco,-0.43760156124351424
"Navarra, Comunidad Foral de",-0.42588081901087277
Extremadura,-0.41093885219414195
