anio,salario_nominal,ipc_valor,salario_real
2008,1816.191875,86.39866666666667,2102.1063693112546
2009,1877.275625,86.14999999999999,2179.0779164248406
2010,1901.825625,87.70058333333333,2168.5438713349495
2011,1934.949375,90.50358333333332,2137.9809547135796
2012,1938.99,92.71741666666667,2091.2899320426136
2013,1950.179375,94.02341666666666,2074.1422127998258
2014,1959.1975,93.88133333333333,2086.8871696183833
2015,1969.716875,93.41158333333334,2108.6430662150215
2016,1962.580625,93.22233333333334,2105.2687213722033
2017,1964.1925,95.04583333333333,2066.5740213055105
2018,1983.550625,96.63783333333333,2052.561151860814
2019,2016.61375,97.31383333333333,2072.2786071867135
2020,1966.848125,96.99975,2027.6837053703744
2021,2066.46625,100.00008333333334,2066.4645279462266
2022,2160.90875,108.39066666666668,1993.6299097093229
2023,2258.270625,112.21941666666667,2012.3706681775952
2024,2333.86625,115.33258333333333,2023.596612983755
2025,2363.1891666666666,118.41550000000001,1995.6755379715207
